Name	City	Zip	Score	Non-Smoking	Date	Street
THE PANTRY, INC. KANGAROO EXPRESS # 3684	HUNTSVILLE	35806	97	Yes	1/27/2015	540 Jordan Lane
THE PANTRY, INC. KANGAROO EXPRESS # 3734	HUNTSVILLE	35803	88	Yes	1/12/2015	11040 S. Memorial Parkway
THE UNDERGROUND GROCERY	TRIANA	35756	95	Yes	7/25/2014	564 6th Street
TIDE CLEAN # 6	HUNTSVILLE	35810	93	Yes	2/4/2015	2407 N. Memorial Pkwy
TIDE CLEAN #7	MADISON	35757	88	Yes	1/13/2015	6551 Wall Triana Hwy
TONEY 2010, INC.	TONEY	35773	92	Yes	2/23/2015	7803 Alabama Hwy 53
TRUE BREAD INC. DBA PAPA JOHNS	HAZEL GREEN	35750	97	Yes	1/13/2015	12793 Highway 231-431
TRUSH LLC. DBA STOP & GO	HUNTSVILLE	35805	87	Yes	7/25/2014	1600 Jordan Lane NW
TWILIGHT LOUNGE INC.	HUNTSVILLE	35805	94	No	1/13/2015	2901 Governors Dr
UAH- DUNKIN DONUTS	HUNTSVILLE	35816	97	Yes	12/8/2014	4705 Holmes Ave.
UNION HILL RECREATION PAVILION (CONCESSION)	HUNTSVILLE	35810	99		7/8/2014	2115 Winchester Road NW
UNIVERSITY FITNESS CENTER	HUNTSVILLE	35899	96	Yes	10/8/2014	500 John Wright Dr
UNIVERSITY JET-PEP	HUNTSVILLE	35816	90	Yes	6/20/2014	2821 University Drive NW
VALLEY'S GAS-N-GO	HUNTSVILLE	35805	91	Yes	1/15/2015	4112 Bob Wallace  Ave
VICTORY FOOD MART	HUNTSVILLE	35810	93	Yes	1/9/2015	6000 Pulaski Pike
VICTORY HANDY FOOD MART	HUNTSVILLE	35811	95	Yes	10/29/2014	3420 N. Memorial Pkwy
VIET SANDWICH	MADISON	35758	90	Yes	11/5/2014	7169-E  Hwy 72 W
VILLAGE CAFÉ LLC	HAMPTON COVE	35763	94	Yes	1/28/2015	317 Old Hwy 431 suite B
VISIONS	HUNTSVILLE	35806	97	No	1/13/2015	6404 University Drive
